LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 32449.0, 1048576, 1.0, 32449.0, 1048576, 127.0, 32511.0, 540672, -1049.0, -1.0, 8192, -109052.0, -1.0, 1048576, 16383.0, 36607.0, 524351,
1, 1.0, 16573.0, 1048576, 1.0, 16573.0, 1048576, 8191.0, 16635.0, 8448, -26210.0, 16555.0, 1048576, -109052.0, -1.0, 1048576, 16635.0, 16762.0, 8192,
