array_shape,baseline_dram_reads,baseline_dram_writes,baseline_memory_stall_cycles,baseline_over_kv_cycle_ratio,baseline_stage_names,baseline_total_cycles,baseline_total_dram,baseline_total_sram,baseline_weighted_pe_utilization,batch_size,decode_tokens,dram_read_ratio_baseline_over_kv,dram_write_ratio_baseline_over_kv,experiment_id,head_dim,kv_dram_reads,kv_dram_writes,kv_heads,kv_memory_stall_cycles,kv_over_baseline_cycle_ratio,kv_preload_bandwidth_cycles,kv_stage_names,kv_total_cycles,kv_total_dram,kv_total_sram,kv_weighted_pe_utilization,memory_stall_cycles_delta_kv_minus_baseline,precision,query_heads,sequence_length,sram_ratio_baseline_over_kv,total_dram_ratio_baseline_over_kv,weighted_pe_utilization_delta_kv_minus_baseline
16x16,10240.0,1536.0,0.0,0.0644671418424082,score_gemm|softmax_reduce|value_gemm|writeback,2632.0,11776.0,11776.0,0.135258358662614,1,1,0.6060606060606061,3.0,2,64,16896.0,512.0,2,0.0,15.511778115501519,2048.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,40827.0,17408.0,102912.0,0.5123937590320131,0.0,int8,8,64,0.11442786069651742,0.6764705882352942,0.37713540036939913
16x16,74752.0,8704.0,0.0,0.0651103848878984,score_gemm|softmax_reduce|value_gemm|writeback,20860.0,83456.0,83456.0,0.1318312559923298,1,1,0.5680933852140078,17.0,20,64,131584.0,512.0,2,0.0,15.358533077660594,16384.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,320379.0,132096.0,805376.0,0.5127661301146454,0.0,int8,8,512,0.10362364907819453,0.6317829457364341,0.38093487412231564
32x32,74752.0,8704.0,0.0,0.05864715342350625,score_gemm|softmax_reduce|value_gemm|writeback,18562.0,83456.0,83456.0,0.03622993211938369,1,1,0.5680933852140078,17.0,21,64,131584.0,512.0,2,0.0,17.051125956254715,16384.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,316503.0,132096.0,805376.0,0.25970399569672326,0.0,int8,8,512,0.10362364907819453,0.6317829457364341,0.22347406357733957
8x8,102400.0,34816.0,0.0,0.08171403408493484,score_gemm|softmax_reduce|value_gemm|writeback,103360.0,137216.0,137216.0,0.4452012383900929,1,4,0.7692307692307693,17.0,22,64,133120.0,2048.0,2,0.0,12.237799922600619,16384.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,1264899.0,135168.0,2435072.0,0.9999335915357669,0.0,int8,8,512,0.056349873843566024,1.0151515151515151,0.554732353145674
16x16,102400.0,34816.0,0.0,0.059275289100694954,score_gemm|softmax_reduce|value_gemm|writeback,74504.0,137216.0,137216.0,0.17534629013207345,1,4,0.7692307692307693,17.0,23,64,133120.0,2048.0,2,0.0,16.87043648663159,16384.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,1256915.0,135168.0,2435072.0,0.9999641980563523,0.0,int8,8,512,0.056349873843566024,1.0151515151515151,0.8246179079242788
32x32,102400.0,34816.0,0.0,0.05403034051924579,score_gemm|softmax_reduce|value_gemm|writeback,67738.0,137216.0,137216.0,0.06274174023443267,1,4,0.7692307692307693,17.0,24,64,133120.0,2048.0,2,0.0,18.508119519324456,16384.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,1253703.0,135168.0,2435072.0,0.9999721824068379,0.0,int8,8,512,0.056349873843566024,1.0151515151515151,0.9372304421724053
8x8,139264.0,69632.0,0.0,0.08224679529133914,score_gemm|softmax_reduce|value_gemm|writeback,206720.0,208896.0,208896.0,0.4452012383900929,1,8,1.0303030303030303,17.0,25,64,135168.0,4096.0,2,0.0,12.158528444272445,16384.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2513411.0,139264.0,4608000.0,0.9999331585641982,0.0,int8,8,512,0.04533333333333334,1.5,0.5547319201741052
16x16,139264.0,69632.0,0.0,0.05946915652120121,score_gemm|softmax_reduce|value_gemm|writeback,149008.0,208896.0,208896.0,0.17534629013207345,1,8,1.0303030303030303,17.0,26,64,135168.0,4096.0,2,0.0,16.815439439493183,16384.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2505635.0,139264.0,4608000.0,0.9999640809615128,0.0,int8,8,512,0.04533333333333334,1.5,0.8246177908294393
32x32,139264.0,69632.0,0.0,0.05411881163596794,score_gemm|softmax_reduce|value_gemm|writeback,135476.0,208896.0,208896.0,0.06274174023443267,1,8,1.0303030303030303,17.0,27,64,135168.0,4096.0,2,0.0,18.47786323776905,16384.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2503307.0,139264.0,4608000.0,0.9999721368573651,0.0,int8,8,512,0.04533333333333334,1.5,0.9372303966229324
8x8,148480.0,16896.0,0.0,0.07868392779585337,score_gemm|softmax_reduce|value_gemm|writeback,51632.0,165376.0,165376.0,0.44468546637744033,1,1,0.5653021442495126,33.0,28,64,262656.0,512.0,2,0.0,12.709075766966222,32768.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,656195.0,263168.0,1608192.0,0.9999679973178704,0.0,int8,8,1024,0.10283349251830627,0.6284046692607004,0.5552825309404301
